id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,explicit_content,instrumentalness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020s,uplifting|energetic|bright,False,0.03
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,54,2020s,cozy|focused|nostalgic,False,0.82
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,61,2000s,aggressive|adrenaline|driving,False,0.08
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,39,2020s,cozy|melancholic|soothing,False,0.88
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,82,2020s,pumped|energetic|triumphant,False,0.02
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,28,2010s,dreamy|introspective|weightless,False,0.91
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,33,1990s,warm|nostalgic|intimate,False,0.35
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,57,2010s,brooding|cinematic|nocturnal,False,0.58
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,45,2020s,focused|steady|meditative,False,0.85
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,69,2010s,carefree|sunny|social,False,0.04
11,Golden Hour Memories,Amber Fields,folk,nostalgic,0.45,95,0.68,0.50,0.83,42,1990s,nostalgic|bittersweet|wistful,False,0.12
12,Crimson Fury,Blackout Sirens,metal,angry,0.97,168,0.25,0.45,0.03,51,2000s,aggressive|rebellious|explosive,True,0.06
13,Velvet Whisper,Marina Soul,R&B,romantic,0.55,88,0.72,0.68,0.30,64,2000s,sensual|intimate|smooth,False,0.05
14,Neon Pulse Rising,Circuit Bloom,EDM,euphoric,0.95,128,0.90,0.92,0.02,88,2010s,euphoric|triumphant|electric,False,0.35
15,Dust Road Home,Copper Wagon,country,nostalgic,0.50,100,0.60,0.55,0.65,47,1990s,nostalgic|homesick|earthy,False,0.05
16,Concrete Sermon,MC Vantage,hip-hop,confident,0.80,92,0.65,0.85,0.08,73,2010s,confident|gritty|assertive,True,0.03
17,Floating in Silence,Aria Wren,classical,peaceful,0.20,55,0.55,0.15,0.95,24,1980s,serene|meditative|ethereal,False,0.97
18,Island Drift,Solar Tide,reggae,carefree,0.60,85,0.80,0.75,0.40,58,2000s,carefree|breezy|sun-soaked,False,0.10
